index,comprehensionlist,listsetdiff,numpysetdiff1d
2,3.279800876043737e-05,4.853500286117196e-05,0.002445775011437945
7,6.148600368760526e-05,6.111898983363062e-05,0.0027456790121505037
12,9.94139991234988e-05,6.42789964331314e-05,0.003361066002980806
17,0.0001846659870352596,7.433400605805218e-05,0.0036660059995483607
22,0.0002281519991811365,8.22120055090636e-05,0.003945646996726282
27,0.0003912329993909225,9.059900185093284e-05,0.0023946500004967675
32,0.0004968979919794947,0.0001142450055340305,0.002474648004863411
37,0.0006167069950606674,0.00013111399312037975,0.002476271998602897
42,0.0007846289954613894,0.0001344010088359937,0.00254702300298959
47,0.0009706810087664053,0.00014363299123942852,0.0025936590100172907
52,0.0010241819982184097,0.00014518499665427953,0.0026814090088009834
57,0.0015384370053652674,0.00015189399709925056,0.0027296259941067547
62,0.0013826880021952093,0.00019393899128772318,0.0027125399938086048
67,0.001636248009162955,0.00016133900498971343,0.00277629098854959
72,0.002031102994806133,0.00016439899627584964,0.002865185000700876
77,0.0023195949906948954,0.00018706700939219445,0.002852134988643229
82,0.0024601990007795393,0.0001757809950504452,0.002871030999813229
87,0.002603665998321958,0.00019748500199057162,0.003014196001458913
92,0.0036058240075362846,0.00020799899357371032,0.00301916099851951
97,0.0034938299941131845,0.00019192999752704054,0.0030211209959816188
